"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"md-509",2018,360,0,0,159,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"md-510",2014,52,2,0,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-510",2015,52,2,0,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-510",2016,52,2,0,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-510",2017,47,0,0,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-510",2018,48,0,0,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-511",2014,235,0,0,88,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-511",2015,269,5,0,132,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-511",2016,274,5,0,131,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-511",2017,295,4,0,132,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-511",2018,295,0,0,111,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-512",2014,412,0,27,208,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"md-512",2015,432,0,0,219,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"md-512",2016,387,0,0,221,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"md-512",2017,465,0,0,255,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"md-512",2018,427,0,0,255,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"md-513",2014,493,16,0,262,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-513",2015,472,90,0,266,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-513",2016,523,17,0,221,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-513",2017,528,17,0,216,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-513",2018,555,26,6,250,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"md-600",2014,978,0,0,213,50,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-600",2015,920,54,40,187,50,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-600",2016,983,0,0,205,59,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-600",2017,914,59,155,196,50,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-600",2018,960,0,0,196,50,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-601",2014,2821,0,25,449,95,59,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-601",2015,3019,106,64,456,97,212,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-601",2016,2965,138,38,434,98,94,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-601",2017,2942,129,101,437,93,93,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"md-601",2018,3202,160,0,451,93,82,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"me-500m",2014,4066,46,73,799,23,30,0,0,0,0,0,0,1,1,1,0,1,0,0,1
"me-500m",2015,4248,26,34,840,23,8,0,0,0,0,0,0,1,1,1,0,1,0,0,1
"me-500m",2016,4112,26,12,856,37,46,0,0,0,0,0,0,1,1,1,0,1,0,0,1
"me-500m",2017,5437,37,51,1305,32,4,0,0,0,0,0,0,1,1,1,0,1,0,0,1
"me-500m",2018,5565,27,29,1323,0,13,0,0,0,0,0,0,1,1,1,0,1,0,0,1
"mi-500",2014,3362,0,0,1123,0,154,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mi-500",2015,3180,0,0,1119,0,130,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mi-500",2016,2759,0,0,1096,0,70,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mi-500",2017,7893,0,0,1161,23,76,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mi-500",2018,3444,0,0,1193,23,137,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mi-501",2014,4984,528,148,1540,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mi-501",2015,7983,413,246,1541,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mi-501",2016,7856,481,88,1352,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mi-501",2017,9922,465,125,1368,54,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mi-501",2018,5325,555,10,1117,121,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mi-502",2014,842,0,0,139,0,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-502",2015,1720,109,0,144,0,11,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-502",2016,1752,0,0,87,30,33,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-502",2017,2007,0,0,138,0,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-502",2018,851,48,0,137,0,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-503",2014,508,20,25,269,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-503",2015,555,32,0,263,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-503",2016,1685,33,0,261,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-503",2017,1571,25,0,252,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-503",2018,711,25,0,311,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-504",2014,930,35,0,133,115,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-504",2015,1419,70,0,124,135,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-504",2016,2162,158,0,130,113,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-504",2017,2519,145,0,131,144,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-504",2018,1377,14,0,133,139,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-505",2014,976,26,0,188,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-505",2015,643,28,0,247,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-505",2016,2174,17,0,284,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-505",2017,2582,4,0,294,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-505",2018,2524,0,0,324,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-506",2014,1853,0,41,375,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-506",2015,3347,0,0,411,18,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-506",2016,3645,356,0,634,19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-506",2017,4282,186,0,647,19,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-506",2018,2129,62,0,646,18,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-507",2014,1234,0,0,508,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-507",2015,1296,0,0,518,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-507",2016,2091,0,0,387,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-507",2017,2232,47,0,535,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-507",2018,1238,26,0,560,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-508",2014,885,53,0,368,0,31,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-508",2015,1742,83,12,351,0,26,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-508",2016,2398,19,0,349,0,13,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-508",2017,2508,103,0,332,0,76,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-508",2018,1226,12,0,346,0,61,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mi-509",2014,800,62,0,285,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-509",2015,1467,92,0,307,17,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-509",2016,1862,228,0,277,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-509",2017,1960,51,0,275,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-509",2018,1453,25,0,275,18,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-510",2014,737,10,0,197,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-510",2015,1154,13,10,221,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-510",2016,964,10,0,209,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-510",2017,1571,0,0,218,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-510",2018,842,0,5,217,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mi-511",2014,159,0,0,90,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-511",2015,277,0,0,94,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-511",2016,349,0,0,93,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-511",2017,363,0,0,102,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-511",2018,168,0,0,92,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-512",2014,369,0,0,125,79,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-512",2015,400,0,0,216,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-512",2016,729,0,0,202,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-512",2017,723,0,0,182,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-512",2018,570,0,0,217,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-513",2014,157,0,0,21,0,34,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-513",2015,126,129,0,43,22,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-513",2016,93,343,0,21,20,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-513",2017,114,279,0,21,21,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-513",2018,89,54,0,21,21,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-514",2014,581,31,0,142,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mi-514",2015,537,31,0,166,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mi-514",2016,519,18,0,166,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mi-514",2017,521,23,0,166,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mi-514",2018,491,25,0,179,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mi-515",2014,271,0,0,125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mi-515",2015,260,0,0,125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mi-515",2016,408,0,0,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mi-515",2017,417,0,0,146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mi-515",2018,423,0,0,151,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mi-516",2014,686,41,0,154,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-516",2015,1050,0,0,162,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-516",2016,1120,0,26,189,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-516",2017,1139,0,39,169,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-516",2018,1182,30,0,179,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-517",2014,337,0,0,118,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-517",2015,298,7,0,118,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-517",2016,660,10,0,118,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-517",2017,737,10,0,118,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-517",2018,258,25,0,118,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mi-518",2014,119,23,1,26,0,32,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-518",2015,307,14,0,26,0,32,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-518",2016,356,11,0,26,4,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-518",2017,356,15,0,26,3,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-518",2018,121,15,0,13,3,28,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-519",2014,492,0,0,168,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-519",2015,635,46,0,170,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-519",2016,621,8,0,156,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-519",2017,914,0,0,162,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-519",2018,559,0,0,184,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-523",2014,169,0,0,40,0,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-523",2015,117,91,0,40,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-523",2016,377,38,0,31,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-523",2017,436,0,40,44,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mi-523",2018,217,0,0,45,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mn-500",2014,7433,3126,175,2670,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mn-500",2015,9311,2401,353,1925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mn-500",2016,9681,711,83,1895,32,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mn-500",2017,9844,753,104,1868,10,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mn-500",2018,11225,162,188,1978,52,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"mn-501",2014,3712,298,23,736,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mn-501",2015,4381,235,35,792,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mn-501",2016,4655,51,728,1129,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mn-501",2017,4099,658,33,838,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mn-501",2018,4902,225,83,911,0,18,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mn-502",2014,886,143,0,276,16,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-502",2015,1016,35,0,254,14,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-502",2016,1090,126,0,229,14,38,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-502",2017,1158,168,0,191,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-502",2018,1374,135,0,204,45,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-503",2014,1133,106,20,287,0,16,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mn-503",2015,1206,140,30,281,0,15,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mn-503",2016,1423,60,0,287,16,13,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mn-503",2017,1475,59,34,290,43,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mn-503",2018,1466,28,10,290,66,13,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mn-504",2014,225,9,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-504",2015,214,75,0,12,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-504",2016,255,34,0,21,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-504",2017,287,14,0,24,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-504",2018,265,10,0,21,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-505",2014,891,122,23,210,40,35,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-505",2015,1049,88,0,189,60,110,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-505",2016,939,169,0,226,42,26,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-505",2017,1190,117,10,171,18,131,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-505",2018,1026,216,0,187,34,33,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-506",2014,514,157,0,118,20,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-506",2015,581,102,0,110,35,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-506",2016,592,152,0,102,35,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-506",2017,607,109,20,104,15,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-506",2018,637,100,0,104,0,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-508",2014,552,84,1,126,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-508",2015,677,155,0,127,0,19,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-508",2016,684,151,40,145,0,33,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-508",2017,786,7,40,139,4,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-508",2018,770,35,40,101,1,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-509",2014,920,63,117,127,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"mn-509",2015,936,213,5,187,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"mn-509",2016,1000,216,5,210,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"mn-509",2017,1070,116,0,211,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"mn-509",2018,1223,175,0,205,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"mn-511",2014,285,50,0,20,0,37,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-511",2015,325,24,11,16,0,41,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-511",2016,349,8,8,20,0,44,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-511",2017,344,0,0,30,0,27,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mn-511",2018,343,0,0,45,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mo-500",2014,763,11,0,174,20,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mo-500",2015,767,11,0,174,20,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mo-500",2016,747,76,0,187,20,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mo-500",2017,586,409,0,227,0,39,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mo-500",2018,725,282,0,181,20,43,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"mo-501",2014,2978,0,0,558,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mo-501",2015,2738,0,0,614,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mo-501",2016,2841,0,0,726,0,14,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mo-501",2017,3023,219,39,690,0,43,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mo-501",2018,2813,301,60,500,116,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"mo-503",2014,727,76,27,121,0,240,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mo-503",2015,756,92,0,117,0,281,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mo-503",2016,669,42,0,119,0,186,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mo-503",2017,599,0,0,131,0,127,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mo-503",2018,616,0,0,176,0,121,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"mo-600",2014,831,0,0,265,0,15,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-600",2015,451,307,0,390,0,25,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-600",2016,596,162,0,266,0,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-600",2017,522,69,0,286,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-600",2018,760,26,0,342,0,21,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-602",2014,483,23,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mo-602",2015,471,61,0,190,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mo-602",2016,442,125,0,241,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mo-602",2017,464,163,0,289,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mo-602",2018,577,29,0,262,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mo-603",2014,477,20,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-603",2015,464,4,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-603",2016,455,19,0,136,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-603",2017,461,12,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-603",2018,472,0,0,110,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"mo-606",2014,3158,857,8,1562,0,15,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mo-606",2015,3139,691,0,1576,0,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mo-606",2016,3153,626,0,1587,0,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mo-606",2017,2866,524,0,1270,36,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mo-606",2018,2895,195,0,1208,51,15,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ms-500",2014,873,110,0,296,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ms-500",2015,621,25,0,217,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ms-500",2016,673,0,0,265,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ms-500",2017,948,0,0,288,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ms-500",2018,812,0,0,223,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ms-501",2014,1144,30,0,527,57,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ms-501",2015,1225,30,20,494,0,13,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ms-501",2016,1431,30,0,470,0,11,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ms-501",2017,1580,0,0,529,0,23,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ms-501",2018,1022,0,0,380,0,16,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"ms-503",2014,320,2,0,157,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ms-503",2015,295,2,0,134,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ms-503",2016,265,0,0,69,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ms-503",2017,398,0,16,64,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ms-503",2018,416,0,0,64,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"mt-500",2014,2060,83,0,759,91,36,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mt-500",2015,1955,51,0,816,67,37,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mt-500",2016,2389,52,0,827,59,54,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mt-500",2017,2628,318,0,1004,51,55,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"mt-500",2018,3070,21,0,1122,51,30,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"nc-500",2014,862,185,0,447,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-500",2015,901,269,0,351,96,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-500",2016,1103,15,0,438,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-500",2017,1046,97,9,449,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-500",2018,973,67,0,434,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-501",2014,1120,18,0,224,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"nc-501",2015,1246,23,0,307,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"nc-501",2016,1273,57,0,260,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"nc-501",2017,1183,8,0,266,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"nc-501",2018,1172,8,0,318,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"nc-502",2014,965,170,54,326,38,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-502",2015,1133,97,28,455,26,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-502",2016,614,91,28,199,28,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-502",2017,727,74,0,259,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-502",2018,733,153,0,263,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-503",2014,4415,806,21,2663,47,24,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"nc-503",2015,4708,575,0,2689,0,37,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"nc-503",2016,4754,702,0,2714,0,33,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"nc-503",2017,4964,654,0,2722,5,64,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"nc-503",2018,4908,934,0,2614,0,67,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"nc-504",2014,1329,9,0,452,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-504",2015,1238,9,0,440,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-504",2016,1424,9,0,496,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-504",2017,1133,9,0,486,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-504",2018,1177,7,0,511,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"nc-505",2014,3865,0,0,995,132,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"nc-505",2015,3625,0,0,1069,134,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"nc-505",2016,3876,0,0,1075,145,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"nc-505",2017,3852,19,0,896,133,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"nc-505",2018,3796,92,0,1076,144,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"nc-506",2014,640,26,0,299,26,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"nc-506",2015,608,10,0,316,14,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"nc-506",2016,586,9,0,270,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
